2024-05-28 22:02:03 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
2024-05-28 22:02:05 [main] INFO  c.m.demo.config.server.ConfigServer - Starting ConfigServer v0.0.1-SNAPSHOT using Java 11.0.19 on f4a1a3bf5e84 with PID 1 (/workspace/BOOT-INF/classes started by cnb in /workspace)
2024-05-28 22:02:05 [main] INFO  c.m.demo.config.server.ConfigServer - No active profile set, falling back to default profiles: default
2024-05-28 22:02:26 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=1c7df4a5-d083-3c27-82fd-64180fd3386d
2024-05-28 22:02:35 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2024-05-28 22:02:35 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2024-05-28 22:02:35 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-05-28 22:02:35 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
2024-05-28 22:02:37 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-05-28 22:02:37 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 29945 ms
2024-05-28 22:02:48 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/actuator/**'] with []
2024-05-28 22:02:48 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/encrypt/**'] with []
2024-05-28 22:02:48 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/decrypt/**'] with []
2024-05-28 22:02:48 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@119290b9, org.springframework.security.web.context.SecurityContextPersistenceFilter@666618d6, org.springframework.security.web.header.HeaderWriterFilter@1511d157, org.springframework.security.web.csrf.CsrfFilter@14efa279, org.springframework.security.web.authentication.logout.LogoutFilter@36224f93, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@6b2fdffc, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@153d6d74, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@640d604, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@5c3d4f05, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2bab618, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5a4d4f9c, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@62cbc478, org.springframework.security.web.session.SessionManagementFilter@3d3c886f, org.springframework.security.web.access.ExceptionTranslationFilter@73f6e07, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@22f02996]
2024-05-28 22:03:18 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2024-05-28 22:03:19 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2024-05-28 22:03:20 [main] INFO  c.m.demo.config.server.ConfigServer - Started ConfigServer in 127.126 seconds (JVM running for 169.419)
2024-05-28 22:03:21 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-05-28 22:03:21 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-05-28 22:03:21 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 40 ms
2024-05-28 22:04:00 [http-nio-8888-exec-3] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-7362011385600865109/config-client-kafka_to_elastic.yml]' via location 'file:/tmp/config-repo-7362011385600865109/'
2024-05-28 22:04:00 [http-nio-8888-exec-3] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-7362011385600865109/config-client.yml]' via location 'file:/tmp/config-repo-7362011385600865109/'
2024-05-28 22:04:02 [http-nio-8888-exec-4] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-7362011385600865109/config-client-twitter_to_kafka.yml]' via location 'file:/tmp/config-repo-7362011385600865109/'
2024-05-28 22:04:02 [http-nio-8888-exec-4] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-7362011385600865109/config-client.yml]' via location 'file:/tmp/config-repo-7362011385600865109/'
